v8-version,4,6,85,31,0
shared-library,"/usr/local/bin/node",0x00400000,0x017c4000
shared-library,"262ec37bb000-262ec37bc000",0x262ec37bb000,0x262ec37bc000
shared-library,"/lib/x86_64-linux-gnu/libc-2.21.so",0x7f66176e3000,0x7f66178a3000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.21.so",0x7f6617aad000,0x7f6617ac5000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f6617ccb000,0x7f6617ce1000
shared-library,"/lib/x86_64-linux-gnu/libm-2.21.so",0x7f6617ee1000,0x7f6617fe8000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.20",0x7f66181e9000,0x7f66182d9000
shared-library,"/lib/x86_64-linux-gnu/librt-2.21.so",0x7f66184f8000,0x7f66184ff000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.21.so",0x7f6618700000,0x7f6618703000
shared-library,"/lib/x86_64-linux-gnu/ld-2.21.so",0x7f6618904000,0x7f6618928000
shared-library,"[vdso]",0x7fffc2959000,0x7fffc295b000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0xb1aa50,534,0,0x0,4
tick,0x7f6617843112,1589,0,0x0,4
tick,0xbe2d10,17861,0,0x0,1
tick,0xb1e7df,18513,0,0x0,1
code-creation,Stub,2,0xe02c6406000,446,"ArrayNoArgumentConstructorStub"
code-creation,Stub,2,0xe02c64061c0,556,"CEntryStub"
code-creation,Handler,3,0xe02c6406400,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6406480,332,"BinaryOpICStub"
code-creation,Stub,2,0xe02c64065e0,184,"DoubleToIStub"
code-creation,Handler,3,0xe02c64066a0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6406720,2694,"RecordWriteStub"
code-creation,Stub,2,0xe02c64071c0,388,"StoreBufferOverflowStub"
code-creation,Stub,11,0xe02c6407360,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6407440,232,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6407540,336,"StoreFastElementStub"
code-creation,Stub,11,0xe02c64076a0,256,"BinaryOpICStub"
code-creation,Stub,11,0xe02c64077a0,220,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6407880,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,2,0xe02c6407a40,1242,"FastNewContextStub"
code-creation,CallIC,8,0xe02c6407f20,533,"A call IC from the snapshot"
code-creation,Builtin,4,0xe02c6408140,413,"ArgumentsAdaptorTrampoline"
code-creation,Stub,2,0xe02c64082e0,380,"CEntryStub"
code-creation,Stub,2,0xe02c6408460,446,"CreateWeakCellStub"
code-creation,Stub,2,0xe02c6408620,2722,"RecordWriteStub"
code-creation,Stub,2,0xe02c64090e0,2672,"RecordWriteStub"
code-creation,Handler,3,0xe02c6409b60,272,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6409c80,2684,"RecordWriteStub"
code-creation,Stub,2,0xe02c640a700,2702,"RecordWriteStub"
code-creation,Stub,2,0xe02c640b1a0,974,"StoreFastElementStub"
code-creation,Stub,2,0xe02c640b580,2672,"RecordWriteStub"
code-creation,Stub,2,0xe02c640c000,188,"DoubleToIStub"
code-creation,Stub,2,0xe02c640c0c0,321,"StoreArrayLiteralElementStub"
code-creation,Stub,2,0xe02c640c220,1819,"RecordWriteStub"
code-creation,Stub,2,0xe02c640c940,168,"StoreBufferOverflowStub"
